id,name,state,created_at,maximum_capacity,pickups,dropoffs
30527,Pop-up LfU Parkplatz,public,2024-09-25 16:42:26.678093,10,0,0
30526,Pop-up Jahrhunderthaus,public,2024-09-25 16:20:37.563574,10,0,0
30524,Festhalle Silberstedt,public,2024-09-25 08:57:58.753387,2,0,0
30522,Keuken Diek (Vorläufige Station),public,2024-09-25 05:54:56.817318,0,0,0
30515,an der alten Lübecker Chaussee,public,2024-09-24 07:17:54.307621,15,28,37
30471,Fahrdorf - Dorfplatz ,public,2024-09-13 07:09:33.597261,15,9,7
30470,Fahrdorf - Badestelle Bäckerstrand,public,2024-09-13 07:08:06.642086,15,6,9
30467,Stadtwerke Pop-Up,public,2024-09-12 12:45:29.843902,0,4,1
30466,Mobilitätsfest Pop-up,public,2024-09-12 12:07:04.481416,0,33,27
30464,Pop Up Rathaus event,public,2024-09-12 07:25:05.597799,0,7,3
30434,Felde Gemeindezentrum,public,2024-09-08 09:01:16.289455,18,17,23
30420,IPN Pop Up ,disabled,2024-09-05 20:53:56.364054,10,0,0
30390,SH Netz Cup Pop Up,public,2024-09-04 06:30:11.736723,0,28,24
30282,Wankendorf Zob,public,2024-08-15 13:16:21.60245,7,5,5
30207,Sporthalle Saxtorfer Weg,public,2024-08-07 09:18:47.391895,15,82,76
30185,Osterby Veranstaltung Pop Up ,public,2024-07-31 12:53:03.714802,0,3,1
30156,Hohes Arsenal,disabled,2024-07-26 05:42:57.330619,15,0,0
30155,Jungmannufer,disabled,2024-07-26 05:40:34.495542,15,0,0
30151,Eiche Dänischenhagen,public,2024-07-26 05:34:45.10637,15,30,37
30147,Bushaltestelle Eiderbrücke,public,2024-07-26 05:12:28.020808,15,50,48
30146,Herzog-Friedrich-Straße (ZOB),public,2024-07-26 05:10:42.349906,25,136,133
30145,Rondeel,public,2024-07-26 05:09:55.733697,15,823,839
30126,VHS Kurs ,public,2024-07-24 10:25:44.893765,0,5,2
30121,TÖZ Eckernförde ,public,2024-07-22 15:05:50.710534,12,57,54
30120,Martinshaus,public,2024-07-22 15:03:04.47372,15,44,39
30096,Süderbrarup Dollrottfeld,public,2024-07-17 08:53:32.980372,10,18,14
30095,Pop-up Barsbek Korntage,public,2024-07-17 08:16:34.065264,0,37,36
30084,Pop Up VeloCenter ,public,2024-07-11 07:25:11.620588,0,29,23
30027,REWE Klausdorf,public,2024-06-28 06:29:40.572113,15,117,127
30026,Ostseepark,public,2024-06-28 06:28:24.729431,15,91,92
30025,Stadtwerke / Bürgerhaus Klausdorf,public,2024-06-28 06:26:27.404711,15,46,42
30024,Bahnhof Raisdorf,public,2024-06-28 06:25:14.94277,15,175,170
30023,Freibad Raisdorf (saisonal bis 22.09.24),public,2024-06-28 06:24:03.060788,15,39,36
30022,Rathaus Schwentinental,public,2024-06-28 06:22:15.676471,15,154,155
30011,Pop-up Seewiese Bünsdorf,public,2024-06-26 10:24:50.744373,10,67,68
29982,Eiderbad Saison-Station,disabled,2024-06-21 07:24:10.884113,10,0,0
29974,Kiwo Sparkassen Service,disabled,2024-06-19 06:34:56.207891,0,0,0
29965,B502 Schönkirchener Straße ,public,2024-06-17 20:14:15.621667,10,71,65
29964,Langer Rehm P+R,public,2024-06-17 20:11:45.941036,10,142,137
29963,Langer Rehm (Rewe),public,2024-06-17 20:08:29.219307,10,226,226
29946,Wörthstraße,public,2024-06-14 11:51:01.474715,10,1634,1640
29942,KiWo Willestraße ,public,2024-06-13 19:25:41.933518,0,426,429
29941,ab 12 Uhr - KiWo Nordeingang,disabled,2024-06-13 19:09:05.209557,0,0,0
29940,ab 12 Uhr - KiWo Südeingang,disabled,2024-06-13 19:08:03.908218,0,0,0
29939,KiWo Nordmarksportfeld,public,2024-06-13 19:06:50.689601,0,156,152
29938,KiWo Prinzengarten,public,2024-06-13 19:04:05.465863,0,252,245
29937,KiWo Schwanenweg UKSH,disabled,2024-06-13 18:58:27.05033,0,0,0
29936,KiWo Karolinenweg,disabled,2024-06-13 18:56:35.167294,0,0,0
29935,KiWo IfW,disabled,2024-06-13 18:55:32.848902,0,0,0
29934,KiWo ZBW,disabled,2024-06-13 18:54:18.631926,0,0,0
29933,KiWo Yachthafen,public,2024-06-13 18:53:23.271305,0,540,526
29745,Pop-Up Tag der Vereine (9.6.),public,2024-06-06 09:13:36.864183,0,25,20
29663,GTZ Raisdorf,public,2024-05-28 14:16:53.660297,15,61,58
29347,Hollerstraße Nord,public,2024-05-28 07:19:53.578385,15,172,181
29346,Wilhelmstraße,public,2024-05-28 07:16:39.821217,15,128,115
29345,Rathaus Büdelsdorf,public,2024-05-28 07:14:48.967933,15,263,247
29287,Norderbrarup,public,2024-05-24 10:03:51.640113,15,62,59
29253,Rieseby Alte Post ,public,2024-05-18 15:23:28.79205,15,37,44
29224,Wonderino,public,2024-05-15 07:07:15.714811,0,1,2
29200,REWE digital am Wissenschaftszentrum,public,2024-05-10 08:17:18.244143,15,466,453
29198,DEPOMM-Arbeitstreffen,disabled,2024-05-09 06:17:27.548431,50,0,0
29147,Strandbad Lanker See (April - Oktober),public,2024-05-02 09:46:39.210934,12,41,36
29112,Felde Dorfplatz,public,2024-04-25 08:32:37.744962,15,144,144
29109,Felde Bahnhof ,public,2024-04-25 08:08:58.033546,15,167,158
29083,Pop-up,disabled,2024-04-22 08:03:17.212155,0,0,0
29049,Falkemedia,public,2024-04-16 06:29:52.261516,15,88,89
28932,Gammelby Ort ,public,2024-04-10 14:55:39.525697,15,169,185
28814,Waabs Strand,public,2024-03-22 12:07:38.044428,15,25,13
28813,Langholz,public,2024-03-22 12:07:38.012609,15,167,180
28812,Rieseby West,disabled,2024-03-22 12:07:37.982329,15,0,0
28811,Kosel - Koselfeld,disabled,2024-03-22 12:07:37.951849,15,0,0
28810,Süderbrarup Schulzentrum ,disabled,2024-03-22 12:07:37.923579,15,0,0
28809,Amt Süderbrarup / Team Allee,public,2024-03-22 12:07:37.894845,15,34,23
28808,Ostseeresort Olpenitz,public,2024-03-22 12:07:37.865176,15,255,263
28807,AP-Möller-Skolen,disabled,2024-03-22 12:07:37.836217,15,0,0
28806,Schleswig BBZ,public,2024-03-22 12:07:37.805896,15,312,270
28805,Kreishaus,public,2024-03-22 12:07:37.772994,15,463,428
28804,Karby - Am Ring,public,2024-03-22 12:07:37.743091,15,71,77
28803,Windeby - Friedland,public,2024-03-22 12:07:37.704728,15,37,40
28802,Kochendorf,public,2024-03-22 12:07:37.669328,15,86,89
