"entity_id","entity_type","time_index","dateobserved","x","y","name","temperature","temperaturemax","temperaturemin","feellikestemperature","atmosphericpressure","relativehumidity","winddirection","windspeed","cloudcover","weathertype","visibility"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 10:56:38.644083+00","2024-10-08 10:56:37+00","9.7092","54.3317","Borgstedt","15.17","15.63","14.08","15.22","998","0.95","160","3.6","75","Überwiegend bewölkt","8000"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","WeatherObserved","2024-10-08 10:56:38.54428+00","2024-10-08 10:56:37+00","9.514","54.226","Hamdorf","15.22","15.64","14.08","15.23","998","0.93","188","3.66","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 10:56:38.444722+00","2024-10-08 10:56:37+00","9.4101","54.6545","Keelbek","14.39","15.46","13.78","14.42","998","0.97","170","4.16","100","Leichter Regen","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 10:56:38.344913+00","2024-10-08 10:56:37+00","10.208","54.3262","Schönkirchen","14.44","15.62","14.06","14.39","999","0.94","170","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 10:56:38.244978+00","2024-10-08 10:56:37+00","10.0893","54.346","Kronshagen","14.29","15.62","14.06","14.23","999","0.94","170","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 10:56:38.149004+00","2024-10-08 10:56:37+00","9.671","54.3024","Rendsburg","15.28","15.66","14.11","15.34","998","0.95","190","1.79","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 10:56:38.044851+00","2024-10-08 10:56:37+00","10.1521","54.3338","Düsternbrook","14.45","15.72","14.16","14.41","999","0.94","170","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 10:41:44.349126+00","2024-10-08 10:41:37+00","9.671","54.3024","Rendsburg","14.95","15.1","14.11","14.98","998","0.95","177","1.79","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 10:41:44.251269+00","2024-10-08 10:41:37+00","9.4101","54.6545","Keelbek","14.39","14.96","13.78","14.42","998","0.97","170","4.16","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 10:41:44.152743+00","2024-10-08 10:30:00+00","10.208","54.3262","Schönkirchen","13.94","15.01","13.28","13.92","999","0.97","160","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 10:41:38.645516+00","2024-10-08 10:41:37+00","10.0893","54.346","Kronshagen","14.22","15.06","14.06","14.15","999","0.94","170","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 10:41:38.454736+00","2024-10-08 10:41:37+00","9.7092","54.3317","Borgstedt","14.88","15.07","14.08","14.9","998","0.95","150","4.12","75","Leichtes Nieseln","7000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 10:41:38.25824+00","2024-10-08 10:41:37+00","10.1521","54.3338","Düsternbrook","14.37","15.16","14.16","14.32","999","0.94","170","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","WeatherObserved","2024-10-08 10:41:38.153655+00","2024-10-08 10:41:37+00","9.514","54.226","Hamdorf","14.96","15.08","14.08","14.97","998","0.94","188","3.66","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 10:26:38.747281+00","2024-10-08 10:26:37+00","10.0893","54.346","Kronshagen","13.78","15.06","13.33","13.75","999","0.97","160","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 10:26:38.642715+00","2024-10-08 10:26:37+00","9.4101","54.6545","Keelbek","13.97","14.9","13.73","13.96","998","0.97","160","4.03","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 10:26:38.546004+00","2024-10-08 10:26:37+00","9.671","54.3024","Rendsburg","14.67","15.1","13.38","14.67","999","0.95","178","1.79","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","WeatherObserved","2024-10-08 10:26:38.443747+00","2024-10-08 10:26:37+00","9.514","54.226","Hamdorf","14.66","15.08","13.35","14.64","998","0.94","172","4.58","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 10:26:38.345095+00","2024-10-08 10:26:37+00","10.208","54.3262","Schönkirchen","13.98","15.06","13.33","13.97","999","0.97","160","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 10:26:38.244599+00","2024-10-08 10:26:37+00","10.1521","54.3338","Düsternbrook","13.97","15.16","13.43","13.96","999","0.97","160","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 10:26:38.144173+00","2024-10-08 10:26:37+00","9.7092","54.3317","Borgstedt","14.53","15.07","13.34","14.52","999","0.95","178","1.79","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 10:11:38.656276+00","2024-10-08 10:11:37+00","10.0893","54.346","Kronshagen","14.14","15.06","13.79","14.06","999","0.94","160","3.6","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 10:11:38.557925+00","2024-10-08 10:11:37+00","9.4101","54.6545","Keelbek","13.59","14.36","12.84","13.54","998","0.97","160","4.03","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 10:11:38.443979+00","2024-10-08 10:11:37+00","9.7092","54.3317","Borgstedt","14.27","15.07","13.81","14.26","999","0.96","150","4.12","75","Leichtes Nieseln","7000"
