id,name,state,created_at,maximum_capacity,pickups,dropoffs
30467,Stadtwerke Pop-Up,public,2024-09-12 12:45:29.843902,0,4,1
30466,Mobilitätsfest Pop-up,public,2024-09-12 12:07:04.481416,0,15,16
30464,Pop Up Rathaus event,public,2024-09-12 07:25:05.597799,20,7,3
30434,Felde Gemeindezentrum,public,2024-09-08 09:01:16.289455,18,7,9
30420,IPN Pop Up ,disabled,2024-09-05 20:53:56.364054,10,0,0
30390,SH Netz Cup Pop Up,public,2024-09-04 06:30:11.736723,0,27,23
30282,Wankendorf Zob,public,2024-08-15 13:16:21.60245,7,5,5
30207,Sporthalle Saxtorfer Weg,public,2024-08-07 09:18:47.391895,15,63,62
30185,Osterby Veranstaltung Pop Up ,public,2024-07-31 12:53:03.714802,0,3,1
30156,Hohes Arsenal,disabled,2024-07-26 05:42:57.330619,15,0,0
30155,Jungmannufer,disabled,2024-07-26 05:40:34.495542,15,0,0
30151,Eiche Dänischenhagen,public,2024-07-26 05:34:45.10637,15,20,31
30147,Bushaltestelle Eiderbrücke,public,2024-07-26 05:12:28.020808,15,47,44
30146,Herzog-Friedrich-Straße (ZOB),public,2024-07-26 05:10:42.349906,16,47,45
30145,Rondeel,public,2024-07-26 05:09:55.733697,15,683,689
30126,VHS Kurs ,public,2024-07-24 10:25:44.893765,0,4,2
30121,TÖZ Eckernförde ,public,2024-07-22 15:05:50.710534,12,52,47
30120,Martinshaus,public,2024-07-22 15:03:04.47372,15,37,35
30095,Pop-up Barsbek Korntage,public,2024-07-17 08:16:34.065264,0,35,33
30084,Pop Up VeloCenter ,public,2024-07-11 07:25:11.620588,0,29,23
30027,REWE Klausdorf,public,2024-06-28 06:29:40.572113,15,110,111
30026,Ostseepark,public,2024-06-28 06:28:24.729431,15,74,75
30025,Stadtwerke / Bürgerhaus Klausdorf,public,2024-06-28 06:26:27.404711,15,36,33
30024,Bahnhof Raisdorf,public,2024-06-28 06:25:14.94277,15,152,148
30023,Freibad Raisdorf (saisonal bis 22.09.24),public,2024-06-28 06:24:03.060788,15,37,36
30022,Rathaus Schwentinental,public,2024-06-28 06:22:15.676471,15,140,141
30011,Pop-up Seewiese Bünsdorf,public,2024-06-26 10:24:50.744373,10,67,68
29982,Eiderbad Saison-Station,disabled,2024-06-21 07:24:10.884113,10,0,0
29974,Kiwo Sparkassen Service,disabled,2024-06-19 06:34:56.207891,0,0,0
29965,B502 Schönkirchener Straße ,public,2024-06-17 20:14:15.621667,10,66,64
29964,Langer Rehm P+R,public,2024-06-17 20:11:45.941036,10,131,129
29963,Langer Rehm (Rewe),public,2024-06-17 20:08:29.219307,10,211,209
29946,Wörthstraße,public,2024-06-14 11:51:01.474715,10,1439,1441
29942,KiWo Willestraße ,public,2024-06-13 19:25:41.933518,0,426,429
29941,ab 12 Uhr - KiWo Nordeingang,disabled,2024-06-13 19:09:05.209557,0,0,0
29940,ab 12 Uhr - KiWo Südeingang,disabled,2024-06-13 19:08:03.908218,0,0,0
29939,KiWo Nordmarksportfeld,public,2024-06-13 19:06:50.689601,0,156,152
29938,KiWo Prinzengarten,public,2024-06-13 19:04:05.465863,0,252,245
29937,KiWo Schwanenweg UKSH,disabled,2024-06-13 18:58:27.05033,0,0,0
29936,KiWo Karolinenweg,disabled,2024-06-13 18:56:35.167294,0,0,0
29935,KiWo IfW,disabled,2024-06-13 18:55:32.848902,0,0,0
29934,KiWo ZBW,disabled,2024-06-13 18:54:18.631926,0,0,0
29933,KiWo Yachthafen,public,2024-06-13 18:53:23.271305,0,540,526
29745,Pop-Up Tag der Vereine (9.6.),public,2024-06-06 09:13:36.864183,0,25,20
29663,GTZ Raisdorf,public,2024-05-28 14:16:53.660297,15,57,50
29347,Hollerstraße Nord,public,2024-05-28 07:19:53.578385,15,153,165
29346,Wilhelmstraße,public,2024-05-28 07:16:39.821217,15,116,101
