"entity_id","anzahl"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24367","148001"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24368","147925"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24369","148208"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24370","148253"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24371","131288"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24372","148087"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24373","148093"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24374","148160"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24375","148185"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24376","148241"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24377","148394"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24378","148243"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24379","147823"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24380","148143"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24381","148262"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24383","148119"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24384","147912"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24385","148232"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24386","148758"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24387","148668"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24388","147831"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24389","148171"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24390","148030"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24391","148360"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24392","148264"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24393","148016"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24394","147662"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24395","148314"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24396","147872"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24397","148634"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24398","122494"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24399","147811"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24400","147827"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24401","147894"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24402","147979"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24403","148607"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24404","147908"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24405","147941"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24406","147952"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24407","148459"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24408","147931"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24409","148794"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24410","147415"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24411","147494"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24412","148559"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24413","148418"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24414","147492"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24415","148060"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24416","147764"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24417","147963"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24418","147692"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24419","148291"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24420","148413"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24421","147758"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24422","147628"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24423","147878"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24424","147992"
