Schlüssel,Stationsname,Ausleihgebiet
24418,Stolbergring,Eckernförde
24427,Bahnhof Eckernförde,Eckernförde
24428,Busparkplatz Sauerstraße,Eckernförde
24429,Carlshöhe,Eckernförde
24430,Fischerkoppel,Eckernförde
24431,Hafen Eckernförde,Eckernförde
24432,Kurpark,Eckernförde
24433,Langebrückstraße,Eckernförde
24434,Parkplatz Südstrand,Eckernförde
24435,Wulfsteert,Eckernförde
24460,Bystedtredder,Eckernförde
24461,Prinzenstraße,Eckernförde
24462,Förde Sparkasse Sehestedter Straße,Eckernförde
24475,Stadthalle Eckernförde,Eckernförde
30121,TÖZ Eckernförde,Eckernförde
30207,Sporthalle Saxtorfer Weg,Eckernförde
27372,Groß Wittensee,Hütten
27373,Sehestedt Markttreff,Hütten
27374,"Osterby, Dorfmitte",Hütten
27375,Holzbunge,Hütten
27376,Owschlag Alter Blöcken,Hütten
27377,Owschlag Haltestelle Muusfall,Hütten
27378,Owschlag Flachsberg,Hütten
27379,Owschlag Schule,Hütten
27380,Owschlag ZOB,Hütten
27381,mobil. Am Dörpshus ,Hütten
27382,Brekendorf Markttreff,Hütten
24367,Anleger Dietrichsdorf,Kiel
24368,Umsteiger,Kiel
24369,Alte Mu/Brunswiker Str.,Kiel
24370,Alter Markt,Kiel
24371,Anleger Reventlou,Kiel
24372,Bahnhof Suchsdorf,Kiel
24373,Christian-Albrechts-Platz,Kiel
24374,Holsten-/Hafenstraße,Kiel
24375,Hörnbad,Kiel
24376,Kirchhofallee,Kiel
24377,Kronshagen Rathaus,Kiel
24378,Muthesius Kunsthochschule,Kiel
24379,RBZ Wirtschaft,Kiel
24380,Vinetaplatz,Kiel
24381,Westring/Eckernförder Str.,Kiel
24383,CAU Sportstätten,Kiel
24384,CAU Universitätsbibliothek,Kiel
24385,Dreiecksplatz,Kiel
24386,Fähranleger Möltenort,Kiel
24387,Mönkeberg Anleger,Kiel
24388,Schönkirchen Gemeindehaus,Kiel
24389,Hansastr./Gutenbergstr.,Kiel
24390,CITTI-PARK,Kiel
24391,Blücherplatz,Kiel
24392,Andreas-Gayk-Straße,Kiel
24393,Tilsiter Platz,Kiel
24394,KiTa Fußsteigkoppel,Kiel
24395,Wellingdorf Stadtteilzentrum,Kiel
24396,Rathaus Waisenhofstraße,Kiel
24397,Hauptbahnhof,Kiel
24398,Rathausplatz,Kiel
24399,Exerzierplatz,Kiel
24400,Anleger Friedrichsort,Kiel
24401,Dataport/FHVD,Kiel
24402,Stadtteilzentrum Pries,Kiel
24403,Hafen Laboe,Kiel
24404,Bullbrücke,Kiel
24405,Marine-Ehrenmal,Kiel
24406,Bahnhof Oppendorf,Kiel
24407,Rathaus Altenholz,Kiel
24408,thyssenkrupp Marine Systems,Kiel
24409,Braunstraße,Kiel
24410,Bunsenstr. / Edisonstr.,Kiel
24411,Grot Steenbusch,Kiel
24412,MEKUN Olympiahochhaus,Kiel
24413,Bernhard-Minetti-Platz,Kiel
24414,Kuhlacker,Kiel
24415,KVG Betriebshof Diedrichstraße,Kiel
24416,Rungholtplatz,Kiel
24417,Sophienhof,Kiel
24419,ADAC-Station,Kiel
24436,Förde Sparkasse Lorentzendamm,Kiel
24440,Förde Sparkasse Teplitzer Allee,Kiel
24441,Meimersdorf Kontor,Kiel
24442,Rathaus Heikendorf,Kiel
24447,Bahnhalt Ellerbek,Kiel
24448,Bahnhof Russee,Kiel
24449,Bebelplatz,Kiel
24450,Schulen am Langsee,Kiel
24453,Kronshagen Bahnhof,Kiel
24454,Freilichtmuseum Molfsee,Kiel
24457,Studiale,Kiel
24465,UKSH,Kiel
24466,Sandkrug,Kiel
24467,Zur Fähre,Kiel
24468,Catharinenberg,Kiel
24469,Seefischmarkt,Kiel
24471,Krausstraße,Kiel
24473,Aalborgring,Kiel
24474,Russeer Weg / Hofholzallee,Kiel
24476,Kurt-Schumacher-Platz,Kiel
24481,Kieler Innovations- und Technologiezentrum,Kiel
26209,Kanalfähre Holtenau,Kiel
26224,"Wik, Kanalfähre - Busstation",Kiel
26708,Schule Mielkendorf,Kiel
26805,Amt Molfsee,Kiel
26889,mobil. am Wilhelmplatz,Kiel
27183,Schilksee Olympiazentrum,Kiel
29049,Schönkirchen Falkemedia,Kiel
29109,Felde Bahnhof,Kiel
29112,Felde Dorfplatz,Kiel
29200,REWE digital am Wissenschaftszentrum,Kiel
29663,GTZ Raisdorf,Kiel
29946,Wörthstraße,Kiel
29963,Langer Rehm,Kiel
29964,Langer Rehm P+R,Kiel
29965,Strohredder B502,Kiel
30022,Rathaus Schwentinental,Kiel
30023,Freibad Raisdorf (saisonal April bis Sommerende!),Kiel
30024,Bahnhof Raisdorf,Kiel
30025,Stadtwerke / Bürgerhaus Klausdorf,Kiel
30026,Ostseepark,Kiel
30027,REWE Klausdorf,Kiel
30145,Rondeel,Kiel
30146,Herzog-Friedrich-Straße (ZOB),Kiel
30147,Schulensee Eiderbrücke,Kiel
30151,Eiche Dänischenhagen,Kiel
30434,Felde Gemeindezentrum,Kiel
30515,Alte Lübecker Chaussee,Kiel
24437,Markt Plön,Plön
24458,Bahnhof Plön,Plön
24459,Wentorper Platz,Plön
24470,Fegetasche,Plön
24472,Ascheberger Parkplatz,Plön
24478,Kreisverwaltung Plön,Plön
24438,Förde Sparkasse Preetz,Preetz
24443,"Preetz, Kieler Str",Preetz
24444,Kührener Straße,Preetz
24445,Schwimmhalle Preetz,Preetz
24446,Wakendorf,Preetz
24451,Bahnhof Preetz,Preetz
24463,Haimkrogkoppel,Preetz
24464,Brandenburger Platz,Preetz
24479,Klinik Preetz,Preetz
24482,Markt Preetz,Preetz
27717,Gemeinschaftsschule Preetz,Preetz
28264,Freudenholm,Preetz
26653,Feuerwehrhaus Schönberg,Probstei
26724,Bahnhof Schönberg,Probstei
26725,Kalifornien,Probstei
26730,Schönberger Strand,Probstei
27440,Brodersdorf Dorfplatz,Probstei
27441,Fiefbergen - Bushaltestelle ,Probstei
27442,Krummbek - Bushaltestelle ,Probstei
27443,Passade - Bushaltestelle Passade Ort,Probstei
27444,Probsteierhagen Friedhof,Probstei
27445,Stein Dorfring,Probstei
27446,Stoltenberg Dörpshus,Probstei
27447,Wendtorf Edeka,Probstei
27448,Wendtorf Marina,Probstei
27449,Wisch Heidkate,Probstei
27450,Wisch Ort,Probstei
27451,Schönberg Eichkamp,Probstei
27452,Lamp'sche Koppel,Probstei
27567,Lutterbek - Dorfteich,Probstei
28738,Prasdorf,Probstei
24420,Kreishaus Rendsburg,Rendsburg
24421,Bahnhof Rendsburg,Rendsburg
24423,Fußgängertunnel Nordseite,Rendsburg
24424,Grüner Kranz,Rendsburg
24425,Schiffbrückenplatz,Rendsburg
24426,WFG Rendsburg,Rendsburg
24439,Förde Sparkasse Fockbek,Rendsburg
24452,ZOB Rendsburg,Rendsburg
24455,Paradeplatz,Rendsburg
24456,Lilienstraße,Rendsburg
29345,Rathaus Büdelsdorf,Rendsburg
29346,Wilhelmstraße,Rendsburg
29347,Hollerstraße Nord,Rendsburg
30120,Martinshaus,Rendsburg
28789,Mehrzweckhalle Barkelsby,SMILE Süd
28790,ZOB Vogelsang-Grünholz,SMILE Süd
28791,Fleckeby - Schmiederedder,SMILE Süd
28792,Götheby-Holm,SMILE Süd
28793,Goosefeld,SMILE Süd
28794,Holzdorf - Neu-Seeholz,SMILE Süd
28795,Holzdorf ,SMILE Süd
28796,Kosel Ort,SMILE Süd
28797,Loose,SMILE Süd
28798,Rieseby Bahnhof,SMILE Süd
28799,Langholz - Holgrund ,SMILE Süd
28800,Waabs - Mühlenstraße,SMILE Süd
28801,Waabs - Seestraße ,SMILE Süd
28802,Kochendorf,SMILE Süd
28803,Windeby - Friedland,SMILE Süd
28804,Karby - Am Ring,SMILE Süd
28813,Langholz,SMILE Süd
28814,Waabs Strand (Saisonale Station (April bis Oktober)),SMILE Süd
28932,Gammelby Ort,SMILE Süd
29253,Rieseby Alte Post,SMILE Süd
