Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.02167022041976452,13.399805408502836,2.743907820679089,9.664203110597154e+16,2.7,0.0,0.0
avg_last_24_hours,Test,0.02319672890007496,14.343723211902487,2.9856180564122266,1.9119310196863024e+16,3.0,0.0,
last_day,Train,0.04697534069418907,29.047255469525748,3.8738090388840027,8.25226257043707e+16,3.9,0.0,0.0
last_day,Test,0.05148235335946083,31.834174056192584,4.5315044839140795,2.225502266318622e+16,4.5,0.0,
no-change,Train,0.11963766813278198,73.97808084218057,6.293852327940826,89.75609756097562,6.3,0.0,0.0
no-change,Test,0.15706628561019897,97.12210407932893,8.639819579273018,98.32285115303984,8.6,0.0,
MLP,Train,0.004176824353635311,2.5827438557717284,1.0294061106022174,2.2301280111110736e+16,1.0,157.0,7.0
MLP,Test,0.0033492508810013533,2.071013155913652,0.9816736844867457,2859241086368975.5,1.0,157.0,
CNN,Train,0.0040701306425035,2.5167693759724914,1.0209875663287442,2.6909587690936684e+16,1.0,275.0,18.0
CNN,Test,0.0033210848923772573,2.053596300821335,0.9834710461745503,4159114863955634.5,1.0,275.0,
LSTM,Train,0.004381910897791386,2.709559463851784,1.0349132960701592,2.7331608405752036e+16,1.0,43.0,29.0
LSTM,Test,0.0033330987207591534,2.0610252213022786,0.9651941811848121,3532162206824522.5,1.0,43.0,
GRU,Train,0.004375085700303316,2.7053390513513262,1.0377575683783231,2.761056830124355e+16,1.0,33.0,91.0
GRU,Test,0.0033606032375246286,2.078032674258039,0.9690875870211455,3621769409866590.0,1.0,33.0,
