Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.012354562059044838,11.119106347241466,2.5097411769135722,2.672672792016133e+16,2.5,0.0,0.0
avg_last_24_hours,Test,0.00820327177643776,7.38294499908856,2.1153846778099803,2.6542945048765384e+16,2.1,0.0,
last_day,Train,0.02441682107746601,21.975138492207382,3.541790145767591,3.689558502161718e+16,3.5,0.0,0.0
last_day,Test,0.024699581786990166,22.229623208733152,3.301199056758905,3.3950455222994932e+16,3.3,0.0,
no-change,Train,0.1453303098678589,130.79727807595404,9.801699725444383,98.53249475890985,9.8,0.0,0.0
no-change,Test,0.07238836586475372,65.14953127479569,7.065418713255061,98.52941176470588,7.1,0.0,
MLP,Train,0.006491105072200298,5.841994638030786,1.6001142284674745,2.318614328781555e+16,1.6,157.0,8.0
MLP,Test,0.0062147206626832485,5.593248427457453,1.6459089303716916,1.9524290208225948e+16,1.6,157.0,
CNN,Train,0.00673383753746748,6.060453686677259,1.6381875048069365,2.3836100408747244e+16,1.6,275.0,18.0
CNN,Test,0.00608963705599308,5.480673830058629,1.6535090658781433,2.0619651942279596e+16,1.7,275.0,
LSTM,Train,0.006799535825848579,6.119582173003471,1.6287392231516649,2.363810914135699e+16,1.6,43.0,33.0
LSTM,Test,0.006373175419867039,5.735858135458555,1.6353871031373763,2.1465999539673344e+16,1.6,43.0,
GRU,Train,0.006914377212524414,6.222939287714711,1.6557679939683159,2.4270663505855636e+16,1.7,33.0,99.0
GRU,Test,0.006239002104848623,5.615101824519803,1.6486911594397153,2.159429364156027e+16,1.6,33.0,
