Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.030744411051273346,123.70898016972616,8.278518653861811,1.4859802879412528e+17,8.3,0.0,0.0
avg_last_24_hours,Test,0.03475081920623779,139.82992227595838,9.51882965268317,1.2070421403404858e+17,9.5,0.0,
last_day,Train,0.05747709423303604,231.27561310071752,11.079144530809735,2.0563228907095763e+17,11.1,0.0,0.0
last_day,Test,0.06551657617092133,263.62477245316705,13.165471808615553,1.8294336551763885e+17,13.2,0.0,
no-change,Train,0.07606624811887741,306.0744146217723,12.22669214864234,94.41340782122904,12.2,0.0,0.0
no-change,Test,0.12419641762971878,499.74000050143417,18.691286955662743,97.47899159663865,18.7,0.0,
MLP,Train,0.016011210158467293,64.42571435695893,5.93883543565406,1.1221838813889712e+17,5.9,157.0,10.0
MLP,Test,0.02183724008500576,87.86842354162353,6.999031357227903,5.972179476748971e+16,7.0,157.0,
CNN,Train,0.017798222601413727,71.6162692450251,6.3165834801512455,1.1088919418172968e+17,6.3,275.0,21.0
CNN,Test,0.023099999874830246,92.94949598708027,7.414961418080555,5.903121910819578e+16,7.4,275.0,
LSTM,Train,0.020542912185192108,82.66031354860993,6.89883390226742,1.610118404167308e+17,6.9,43.0,33.0
LSTM,Test,0.028114840388298035,113.12814766326902,8.193935339385854,7.750072272777766e+16,8.2,43.0,
GRU,Train,0.02047024294734001,82.36791088727885,6.902095850792201,1.5792506938125974e+17,6.9,33.0,101.0
GRU,Test,0.027459707111120224,110.4920410177452,8.097567588129065,7.592751258855179e+16,8.1,33.0,
