,entity_id,station_name,max_capacity,longitude,latitude,sub_area
0,30434,Felde Gemeindezentrum,18,54.299552,9.933817,
1,30207,Sporthalle Saxtorfer Weg,15,54.487005,9.835833,
2,30151,Eiche Daenischenhagen,15,54.424663,10.127872,
3,30147,Bushaltestelle Eiderbruecke,15,54.289706,10.090042,
4,30146,Herzog Friedrich Strasse  ZOB ,25,54.317114,10.133099,
5,30145,Rondeel,15,54.308532,10.125048,
6,30121,TOeZ Eckernfoerde ,12,54.445586,9.832705,
7,30120,Martinshaus,15,54.290136,9.653606,
8,30027,REWE Klausdorf,15,54.31219,10.200471,
9,30026,Ostseepark,15,54.288794,10.217716,
10,30025,Stadtwerke   Buergerhaus Klausdorf,15,54.303372,10.215618,
11,30024,Bahnhof Raisdorf,15,54.28116,10.242978,
12,30022,Rathaus Schwentinental,15,54.2843,10.240566,
13,30011,Pop up Seewiese Buensdorf,0,54.370443,9.744189,
14,29965,B502 Schoenkirchener Strasse ,10,54.329658,10.196194,
15,29964,Langer Rehm P R,10,54.339102,10.19016,
16,29963,Langer Rehm  Rewe ,10,54.336643,10.189744,
17,29946,Woerthstrasse,10,54.323765,10.118694,
18,29663,GTZ Raisdorf,15,54.291489,10.226465,
19,29347,Hollerstrasse Nord,15,54.322111,9.692483,
20,29346,Wilhelmstrasse,15,54.315754,9.68073,
21,29345,Rathaus Buedelsdorf,15,54.315943,9.670588,
22,29253,Rieseby Alte Post ,15,54.542271,9.818097,
23,29200,REWE digital am Wissenschaftszentrum,15,54.341647,10.122253,
24,29112,Felde Dorfplatz,15,54.303857,9.93739,
25,29109,Felde Bahnhof ,15,54.309801,9.946644,
26,29049,Falkemedia,15,54.339302,10.215208,
27,28932,Gammelby Ort ,15,54.500261,9.794275,
28,28813,Langholz,15,54.516477,9.979997,
29,28804,Karby   Am Ring,15,54.62363,9.97642,
30,28803,Windeby   Friedland,15,54.458961,9.784161,
31,28802,Kochendorf,15,54.474377,9.774602,
32,28801,Waabs   Seestrasse ,15,54.551866,9.993341,
33,28800,Waabs   Muehlenstrasse,15,54.532688,9.984947,
34,28799,Waabs Haltestelle Abzw  Langholz,15,54.526682,9.968479,
